datetime,latitude,longitude
250102.1850,34.461,-91.613
250102.1850,34.553,-87.23
250102.1850,34.617,-85.599
250102.1850,34.629,-90.085
250102.1850,34.636,-80.665
250102.1850,34.639,-98.319
250102.1850,34.64,-98.315
250102.1850,34.641,-98.312
250102.1850,34.642,-98.352
250102.1850,34.645,-98.321
250102.1850,34.647,-98.354
250102.1850,34.679,-82.241
250102.1850,34.762,-88.14
250102.1850,34.79,-92.45
250102.1850,34.905,-87.807
250102.1850,35.117,-83.051
250102.1850,35.25,-86.945
250102.1850,35.468,-85.229
250102.1850,35.526,-86.078
250102.1850,35.649,-89.933
250102.1850,35.728,-88.422
250102.1850,35.731,-88.423
250102.1850,35.783,-86.232
250102.1850,35.792,-88.982
250102.1850,35.878,-86.42
250102.1850,35.89,-89.78
250102.1850,36.067,-88.847
250102.1850,36.257,-80.111
250102.1850,36.259,-80.109
250102.1850,36.294,-85.466
250102.1850,36.355,-76.806
250102.1850,36.422,-89.21
250102.1850,36.563,-87.74
250102.1850,36.609,-81.36
250102.1850,36.624,-93.451
250102.1850,36.671,-88.528
250102.1850,37.614,-85.881
250102.1850,37.745,-84.265
250102.1850,37.755,-81.416
250102.1850,38.191,-84.206
250102.1850,38.572,-87.715
250102.1850,38.575,-87.721
250102.1850,39.478,-84.376
250102.1853,39.678,-95.782
250102.1853,39.954,-95.232
250102.1853,39.955,-95.234
250102.1853,40.052,-95.75
250102.1853,40.056,-95.751
250102.1853,41.617,-87.331
250102.1853,41.617,-87.329
250102.1853,41.638,-87.143
250102.1853,41.639,-87.133
250102.1853,41.641,-87.41
250102.1853,41.641,-87.141
250102.1853,41.642,-87.139
250102.1853,41.658,-87.624
250102.1853,41.673,-87.463
250102.1853,41.677,-87.433
250102.1853,42.701,-96.544
250102.1853,43.331,-96.635
250102.1853,43.987,-87.763
250102.1854,45.436,-98.098
250102.1854,45.708,-98.728
250102.2026,17.93,-102.208
250102.2026,17.975,-94.525
250102.2026,17.982,-94.525
250102.2026,18.127,-94.202
250102.2026,18.475,-100.56
250102.2026,18.6,-99.22
250102.2026,18.947,-98.953
